ID,CAMPAIGN_NAME,DATE,SPEND,IMPRESSIONS,CLICKS
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2023-03-16,43.81,248,60
1003428951,ad_network_2_iOS_NZ_All_Match,2022-11-23,23.85,136,30
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2022-06-19,104.92,216,36
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-02-12,0.97,16,8
997546097,ad_network_2_iOS_US_All_Exact_CPT,2022-11-21,1679.86,2268,280
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2023-02-02,0.00,30,0
1003503725,ad_network_2_iOS_AU_All_Exact_CPT,2023-01-21,141.36,36,45
997563399,ad_network_2_iOS_US_All_Match,2022-06-28,45.76,5901,120
1003428951,ad_network_2_iOS_NZ_All_Match,2023-03-26,23.50,581,48
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2022-12-03,0.00,3,0
1015237368,ad_network_2_iOS_BE_All_Shared_B_Exact_CPT,2023-03-15,0.00,6,0
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2023-03-16,39.33,108,30
1003457587,ad_network_2_iOS_UK_All_Shared_B_Exact_CPT,2023-02-19,0.00,14,0
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-04-02,0.00,2,0
1009146846,ad_network_2_iOS_DE_All_C_Exact_CPT,2023-01-12,0.00,2,0
1014084170,ad_network_2_iOS_FR_All_C_Exact_CPT,2022-10-12,0.00,1,0
1003428949,ad_network_2_iOS_UK_All_Match,2022-07-21,110.63,590,44
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2022-12-29,55.88,260,48
1009067728,ad_network_2_iOS_DE_All_B_Exact_CPT,2023-01-05,0.00,4,0
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-11-08,40.02,96,64
1013960855,ad_network_2_iOS_FR_All_Shared_B_Exact_CPT,2022-09-25,0.00,6,0
1003505483,ad_network_2_iOS_NZ_All_Exact_CPT,2023-03-06,3.07,150,56
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-06-15,52.56,280,36
1003428951,ad_network_2_iOS_NZ_All_Match,2022-04-28,3.82,219,4
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2022-09-16,304.76,354,90
1014013493,ad_network_2_iOS_FR_All_B_Exact_CPT,2022-09-29,0.00,5,0
1003505483,ad_network_2_iOS_NZ_All_Exact_CPT,2022-01-31,17.69,190,4
1014084170,ad_network_2_iOS_FR_All_C_Exact_CPT,2022-05-22,0.00,10,0
1003487745,ad_network_2_iOS_CA_All_C_Exact_CPT,2022-08-19,0.00,40,0
1003428949,ad_network_2_iOS_UK_All_Match,2022-10-04,0.25,1008,6
1009067728,ad_network_2_iOS_DE_All_B_Exact_CPT,2022-03-25,0.00,3,0
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2022-06-22,0.00,14,0
1009146846,ad_network_2_iOS_DE_All_C_Exact_CPT,2022-02-19,4.20,36,8
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2022-09-30,0.00,20,0
1015237368,ad_network_2_iOS_BE_All_Shared_B_Exact_CPT,2022-06-05,0.00,9,0
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-05-19,16.65,64,15
1009067728,ad_network_2_iOS_DE_All_B_Exact_CPT,2022-11-18,3.57,9,3
1003288334,ad_network_2_iOS_CA_All_B_Exact_CPT,2022-05-30,13.65,4,6
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-05-25,0.00,100,0
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2022-12-24,4.05,80,5
1024322563,ad_network_2_iOS_DE_All_Match,2022-03-31,112.52,5031,144
1003503722,ad_network_2_iOS_CA_All_Match,2022-02-11,100.05,125,63
1024322563,ad_network_2_iOS_DE_All_Match,2022-07-28,6.23,622,24
1014013493,ad_network_2_iOS_FR_All_B_Exact_CPT,2023-02-25,8.47,8,7
1014013493,ad_network_2_iOS_FR_All_B_Exact_CPT,2023-03-31,13.17,8,18
1003503147,ad_network_2_iOS_AU_All_B_Exact_CPT,2022-05-09,0.00,6,0
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2022-12-12,5.80,95,6
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2022-10-12,0.00,8,0
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-09-27,82.75,1359,48
1009045000,ad_network_2_iOS_DE_All_Exact_CPT,2022-03-03,178.74,284,117
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2023-03-21,44.62,154,12
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-04-03,71.96,80,14
1003428951,ad_network_2_iOS_NZ_All_Match,2022-11-17,28.74,180,20
1003428951,ad_network_2_iOS_NZ_All_Match,2023-03-28,23.88,348,56
1009067728,None,2022-07-09,14.32,18,9
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2022-08-08,97.05,387,48
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2022-12-22,0.00,72,0
997546097,ad_network_2_iOS_US_All_Exact_CPT,2022-07-15,2239.44,3036,190
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-08-22,19.05,28,12
997563664,ad_network_2_iOS_US_All_C_Exact_CPT,2022-12-31,971.52,890,14
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-12-25,520.95,208,230
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2022-09-21,0.00,9,0
1009146846,ad_network_2_iOS_DE_All_C_Exact_CPT,2023-01-08,11.01,4,4
1009045000,ad_network_2_iOS_DE_All_Exact_CPT,2022-03-12,132.03,840,42
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2022-10-18,2.81,1,4
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2023-02-11,65.38,475,68
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2023-04-02,0.00,14,0
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-06-14,25.50,9,5
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2022-08-04,21.91,594,20
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2022-11-12,0.00,6,0
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2023-02-05,75.40,158,105
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2022-10-04,0.00,7,0
1003371337,ad_network_2_iOS_UK_All_B_Exact_CPT,2022-03-11,3.56,7,9
997563399,ad_network_2_iOS_US_All_Match,2022-09-28,594.10,6264,376
1014115345,ad_network_2_iOS_FR_All_Match,2022-07-18,131.78,1878,40
1003505482,ad_network_2_iOS_AU_All_Match,2022-04-26,77.16,936,56
997563399,ad_network_2_iOS_US_All_Match,2022-05-27,84.87,4170,252
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-04-18,10.36,56,8
1014084170,ad_network_2_iOS_FR_All_C_Exact_CPT,2023-02-09,0.00,4,0
1003487745,ad_network_2_iOS_CA_All_C_Exact_CPT,2022-04-28,25.20,13,14
1003505483,ad_network_2_iOS_NZ_All_Exact_CPT,2022-07-10,60.88,90,3
997563399,ad_network_2_iOS_US_All_Match,2022-12-12,122.55,1048,68
1014115345,ad_network_2_iOS_FR_All_Match,2022-04-22,275.40,24160,513
1003428949,ad_network_2_iOS_UK_All_Match,2022-11-23,46.24,1400,80
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2023-02-26,0.00,4,0
1003487744,ad_network_2_iOS_CA_All_Shared_B_Exact_CPT,2022-10-15,0.00,1,0
1009052654,ad_network_2_iOS_DE_All_Shared_B_Exact_CPT,2023-01-21,38.22,2,9
997563664,ad_network_2_iOS_US_All_C_Exact_CPT,2022-07-11,951.35,87,25
